sentence1,sentence2,label
iphone7怎么购买,你好，请问下我能不能参加苹果7抽奖活动呢,0
不得、不会操作、拆不了,下载了能使用吗,0
一年还,20月还钱,1
怎样才算通过审批,审批不通过,1
请问有没有优惠券了,有优惠卷吗,1
1.5万元分20期还，每期应还多钱,1000块钱   还20个月   最后我要还多少钱,1
是不是现在还款时。不能在借贷,为什么不能提前还清？一直还款失败,0
微信上怎么打开,不借了,0
"app,借款",app里怎么贷款？,1
你们能当月从我卡里直接扣款 那么以后还清是不是还能继续扣呢？,你好我的是几期还清？,0
为什么会重复出现输入验证码交易密码,为什么支付密码验证后没有下一步,1
还要对长时间对我开放,我今天没按时打款进去,0
绑定卡,我想绑定银行卡,1
你们发送电话未接听信息，但是我没收到你们来电,到帐回有通知吗？,0
借钱失败,借款显示失败没用,1
如何变更电话号码,手机号码更改,1
今天把逾期款缴纳进去，对我以后的信用有影响吗？,今天到期，明天还算逾期吗？,0
一般电话确认要多长时间,电话确认一般多长时间,1
一般借钱后多长时间银行会打电话确认验证？,你好，申请借款后，多久来电话？,1
是“腾讯牵头发起设立的银行”吗？,腾讯内部员工,0
我的开通不了,我为啥开通不了,1
董事长,董事长是谁,1
你好，我想问一下，这个会盗取我的资料信息吗,个人信息安全,0
怎么更改电话,电话变更了 没问题吧,1
你好怎么没有扣款成功,你好！自动还款失败，怎么处理呢？谢谢！,1
一般几天会打电话确认,一般什么时候来电,1
为什么没有收到保单,LOL点卷充值没到帐,0
怎么更改预留电话号码,手机号码换了,1
支持得银行,微粒贷账号可以买吗？,0
一次性还清借款，会有违约金吗,我能不能一次还清,1
以前帮定的卡丢了.如何在换一张卡帮定呢,你好 我要换卡怎么换 我卡掉了,1
2个小时还没有联系我呢？,一般打电话是什么时间段,1
我的借款申请为什么不成功,为什么会贷款失败？,1
1是第1个问题啊,3    4   5序号问题,1
变更还款账号,换了扣款卡怎么操作,1
可以再打个电话过来确认吗？,可打电话,1
你好，有一个问题想咨询一下,账户存在风险！借款失败！,0
苹果手机不能办理吗,苹果手机不可以登录吗？,1
开微众卡必须绑定他行卡吗,可以转到别人卡上吗,0
一万元日息是多少,一日的利息多少,1
密码次数,怎么修改微粒贷的密码,0
一个版本苹果5s支持么,4s手机看的到吗？,1
也没有到账,为何还没到账,1
银行,已经有借款得银行卡能借么,0
零钱包能不能还款,零钱可不可以还款？,1
为什么总显示输入信息错误次数过多，无法借款,身份证输入错误 不能借款 怎么办,1
你们客服电话号码发来,可以主动打电话过去吗,0
一次逾期对以后贷款有影响没,下个月两期一起还,0
我可以打电话过去吗,现在可以打电话过来给我吗？,0
日息每天是多少,现在日利率是多少？,1
为何我显示个人信息多次输入错误不能借款,身份信息输入错误次数过多，无法借钱怎么办,1
可以提高额度吗,单笔最小借款额度？,0
一般什么时候电话审核,一般多久可以通过？,0
我想贷款,让天下的人都知道你们微粒贷是说大话，骗人,1
一般什么时间播打电话,一般打电话是什么时间段,1
一般是什么时候打,一般审批多久？,0
还可以领优惠券吗,给我来优惠券,1
我怎么没微粒,为什么没看到微粒贷,1
为什么我的借款还没有到帐,不是说很快到账吗,1
为什么老是借款失败呢？,1：借贷失败,1
电脑上可以吗？,你好，我在QQ上有微粒贷，但手机坏了，换了个手机，找不到图标了，是怎么回事,0
微粒货支持的银行,微粒货需要绑定什么银行卡吗？,1
你好、我卡里面有钱的。,你好！为什么我的现在都还没扣款？,1
21号还可以吗？公司推迟了一天发工资,延期1天还款可以吗,1
如果发送了借款要取消借款怎么操作,取消借款怎么手续,1
去银行可取现金吧,可以取出来吗,1
不好意思逾期了，明天就给你了,不好意思，资金暂时周转不开，可能要逾期半个月左右，对不起,1
如果没手机页面没显示呢,又不给名额。发个毛线,0
怎么到现在没接到电话银行的电话确认？,你好，刚刚打电话我没接到。,1
下载了，问题是一千是多少利息,你们贷款，年利率多少,0
不是说12月1日自动扣款吗，怎么还没扣钱,刚试了，失败，银行卡有钱,1
还款后有什么凭证吗,结清凭证,1
为什么有些手机有，有些没有啊,为什么别人的手机支持微粒贷,1
你好，可以取现金用吗,借的钱可以从卡里取出来吗,1
:审核失败,你提交了，怎么到现在没接到审核电话？是不是借款失败了,0
更改银行卡,为什么更改不了呢,0
如何更改每个月的还款日期及金额？,可以更改分期还款日期吗,1
哪里有借款,QQ有人专门做微粒贷的那个是不是真的,0
一般确认电话申请之后多久打来,一般电话确认要多长时间,1
12日过了为何没有扣款呢？,你好、我卡里面有钱的。,1
上午申请的，下午还没有给我打电话,为什么电话还没来,1
我办的是建行卡,支持那几家银行？,1
一次性还清，还可以继续贷款吗？,我可以一次性还清吗,0
为什么达不到审核标准,一直审核,0
如何出具还款清单证明,借款结清书面证明在哪里取,0
怎么办理微粒贷,微粒贷业务开通,1
你好，我的还款是每个月几号？,2月1日借款  还款日是哪天,1
不开通微粒贷拿什么搞理财,什么地方可以申请贷款,0
你好，我逾期了一天还会不会对我的信誉有影响？？因为昨天刷的卡未到帐，工作日都放假，我今天去存,以经逾期了，不过你放心三天之内一定还,0
身份信息输入错误次数过多，借钱失败,为什么我借款，老是说身份信息输入错误次数过多？,1
怎样信用评估呢,人品值是什么,0
最多提现多少,申请成功，资金没有发放啊？也不能取消？,0
你好，我借的钱提前还清了，有结清证明吗,你好，我想问下还清了贷款可以开一个结清证明么？,1
你好，我的还款是每个月几号？,你好。请问还款日是1号，最晚什么时间还是不算逾期的？,0
换卡支付密码是什么,是否必须有信用卡才能借贷,0
不支持招商银行？,为什么邮储银行的银行卡邦不上呢,1
怎么用微信贷款,联系方式,0
开通了微粒贷但是不能贷款,借贷资格,0
借贷利息,为什么我存的钱利息不计在资产,0
还款20个月，可以提前还款,1:提前还款：怎样办理,0
身份信息输入错误次数过多是什么意思,身份输入错误多是什么原因,1
从新绑定银行卡,借款绑定的银行卡可以是他人的卡么。,0
2，我可以申请微粒贷吗？,1.没有微粒带可以申请吗,1
借了不分期可以吗,你好，请问如果今天借钱，然后三天后就还可以吗？还是必须按照所选的期数慢慢还,0
我16号扣款 刚看了下还款帳号 你们怎么还沒扣,17:00没有扣款,1
今天早上忘记了，下午才扣款算不算逾期,10号还，会算逾期吗,1
为什么不符合要求,为什么老是即将开放呢？,0
办完多久到账,什麼時候能開通,0
之前的推送怎么都没有了，说好的红包呢,绑定,0
微粒贷会对以后银行贷款造成影响吗,开通微粒贷需要绑定银行卡吗,0
已经在银行换了新预留号码。,银行预留手机号不符,1
在什么地方可以看到每期的还款记录,借款和还款记录,0
能打印借款合同吗,还完钱，有合同声明吗？,1
怎么删掉微信的微粒贷 我不需要了,微粒贷能关闭吗,1
3.23万元，2.84收益，与七日年化收益4.2%配不上啊。,七天吗？,0
1:没有解决问题,1和2的问题,0
你好，我点微粒货，说我什么没通过银行审核，是什么意思？,为什么我借款未通过啊？,0
一个月到期没钱还怎么办,明天还上欠款,0
微粒贷换银行卡,为什么我办银行不支持呢,0
17点前没有再次扣款,如果再扣款失败呢,0
“钱没到帐”,什么时候全面开,0
已还完的账单,为什么下月的账单出来又是567,0
为什么突然微众银行审批不过关,为什么我借款未通过啊？,0
QQ里微粒贷可以关闭吗,取消货款,0
为什么我微粒贷说未达到要求？请问需要什么要求？,我急借钱,1
开通微粒,开通介绍,0
你好，我有一笔贷款，如果现在提前还清，稍后还可以再贷款吗,假如要申请提前还清所有款项，怎么弄，我找个半天没有找到,0
不需要借了，试试功能的,不想贷款能退贷吗,0
开通.要什么条件,如果开通微粒贷,0
我刚才有笔贷款，我要取消,不可以取消借款吗,1
为什么我贷款失败,"为什么借代不成功,",1
电话号码更改了，怎么借款？,怎么修改绑定的电话号码,1
怎么提升额度。怎么申请借钱,什么时候能提升一次啊,0
可不可以提前还款,可否单笔提前还款,1
微众银行今天怎么总是登录失败,请问，为什么我登录总是显示  出错了,1
开个还款证明？,我之前好像用过，我查查还清了吗,0
何时会邀请,何时可以受邀？,1
为什么没通过,为何突然评估不过,1
一直在等待电话通知,一般审核需要多久,0
我有绑定的银行卡,原绑定的银行卡遗失怎么办,1
什么时候可以再次借款,下次借贷什么时候,1
第二次还款失败,我的还款失败,1
喊你邀请，斤到说,如何开通微粒,0
我进不了你们的首页,这是你们发的么,0
为什么我不能申请微粒贷,为什么我开通不了，微粒贷,1
刚刚没有接到电话，一般第二次打电话需要多久？,昨日电话没接到，今天9点可以来电不,1
我2-3月后全额还清可以吗？,假如我借了两笔，有1笔还清了，1笔还没有还清，那还可以借吗,0
可以用微信零钱还款吗,微信怎么还,0
借款不能用于购房,借贷的钱可以用来投资么？,1
想取消借款，未有这个需要,不好意思，好玩。不需借款。请取消,1
为什么我的微粒货不见了？,微粒贷图标没有了,1
我朋友也想申请微粒贷，可是都没有,你好！请问我的另外一个微信没有微粒贷？,1
亲，想问一下，如果我全额还了，需要的时候是不是可以在借了,之前有5000额度，借了几次，都正常提前全额还款，刚才试，怎么未通过评审？,0
不知道怎么还款,图片给你看了。哪里可以提前还款啊,0
把钱存入里面安全吗,这个安全吗,1
为啥没我资格,在哪里评估了,0
能帮我申请吗,你好，一进去就要我开户，我已经开了,0
你好我想问下我借了16000每月的利息怎么算,你好如果我借1000、利息多少？,1
提前还款后，还可以继续贷款吗,提前还款后，又可以重现申请借款吗,1
功能是不是跟支付宝一样的？,在线支付,0
5如果提升额度，,怎么别人有信用额度，我的怎么没有,0
借款失败，原申请已取消是什么意思,钱什么时候能退回来！！,0
怎样添加身份证,身份证,1
怎么我没有微粒贷，我朋友都有,为什么我没有微粒代,1
借款可以提取出来吗,借的钱可以取现不,1
绑定的银行卡能更换吗？,我没有绑定银行卡这个原因是不是很重要？,0
为什么我的微信没有微粒贷,请问 怎么我没微粒贷？,1
你好 为何本微信没有微粒贷功能,微粒货介绍 看不到微粒货,1
借钱免息的优惠券有吗,可不可以发个7天的免息券,1
有一笔借款等待银行确认，现在想取消，如何取消,借款提交了可以撤销吗,1
不好意思，刚存进款，什么时候再扣还款？,下次还款日十几号？,0
为什么用微粒贷验证码发到原来手机上呢,为什么重复发送验证码？？？,0
10月11日起七天免息，到10.17,7天免息期,1
取消可以么,QQ里微粒贷可以关闭吗,1
还清证明,微粒贷结清证明,1
工商银行借钱,建设银行支持吗,1
取消借款如何取消,不可以取消借款吗,1
微众银行APP上可以借贷吗,微众APP里有贷款的吗,1
为什么我的手机没有这个功能,为什么安卓可以借款，苹果不行,0
一般几天会打电话确认,一般会间隔多久再次致电,0
未满足审批要求是因为什么,受邀客户未满足微众银行审批要求,1
我为什么会借款失败啊，什么原因,为什么可借5000却借不出来？,0
借款是不是可以提现的,可以提取现金的吗？还是只能刷卡,1
QQ上微粒贷可以借钱了，微信上为什么没有,QQ入口,0
我的页面没有显示微利贷,我的微粒贷入口不见了,1
QQ上的借钱跟微信上的微粒贷金额是通用的吗,QQ里面的微粒贷信息不是你们推荐的吗,0
能先取消嘛？,我关闭了微信粒贷现在怎么开启,0
出现借款失败,为什么借款不成功？,1
不可以借钱,为什么我不能借钱了,1
多久才学提高额度,多久可以快速提额,1
怎么还登陆不上？,无法登录，请问？,1
一笔还清了，可以恢复额度吗,一个星期可以申请借款两次吗？,0
你好，如何更换绑定的银行卡,借的钱是不是直接到我绑定的银行卡上,0
有金額限制嗎？,每日每月有啥额度限制？,1
你们发的提醒通知我想更改手机号,如何更改验证短信预留手机号  ？,1
延期1天还款,27号是还款日，28号还，这样是逾期吗,0
提前还清借款还能再借吗,提前还清一比借款后还可以再借吗？,1
我填身份证 怎么显示错误,身份证输入次数过多是什么意思？,0
为什么我的微粒贷是未通过审核？,为什么我QQ微粒贷上借款审核不通过？,1
2个小时还没有联系我呢？,一般多长时间会给我打电话,1
一次性只能借4万,一天最多能申請几笔,0
你好，电话确认要多久？,等电话通知要等多久？,1
如何通过审批,怎样满足微众银行审批要求,1
我当时选择的是建设银行 为什么系统搞的交通银行 我没有 好无语,银行卡不用了，但没报失，欠费了和微粒贷有关系吗,0
何时邀请我,微信上找不到微粒贷,0
有限制,限制多少,1
三星手机可以微粒贷款嘛,不好意思我手机没开声音,0
不用了，麻烦取消,关闭借款,0
什么时候可以在微粒货借钱,什么时候可以再借款呢,0
30000的话日息为多少钱？,23000元日利息多少钱,1
事情是这样的，我有个朋友微信里面有个微粒贷的，我的微信怎么没有的,为何有的微信有有的没有,1
密码输错次多久才能操作,是的我是按我支付密码输入的,0
关闭了微粒贷想重新起用,能不能重复使用微粒贷,1
一般会在多久会来电话？,一般审核要几天,0
如果预留在银行的手机号码更改了 更改绑定号码了 怎么办？,如何更改验证手机号？,1
我这月的借款。你们扣了吗,9月份的钱是不是扣了,1
买了iphone7没发票,为什么抢购的iphone7没有发票,1
办理贷款需要结清证明,我前面借款11000元已全额还清！能发个证明过来吗？,1
可以贷款不,为何办不了贷款,0
开通微粒贷,开通微粒贷权限,1
到期没及时还怎么办？,到期没有还款怎么办,1
为什么我没有微利贷,‍什么时候会有,0
我想问下，我现在想还一部分钱，是怎么还的，因为我只看到一次还清的而已,我现在想还一部分款,1
微粒贷、我己进入操作、钱没到账,请问审核需要多久？大概几天能下,0
利息不会多收？,利息百分之多少,1
一直让输入验证码，没有显示借钱成功是什么情况,你好无法收到验证码,0
15分钟内没有接到电话,上午错过了电话，请再次致电,0
多久才学提高额度,你好 可以提高额度嘛,0
我想关闭此功能,怎么关闭了我的微粒,1
请问此借款只不能用于买房，还不能用于什么,能否直接转账？,0
不是3分钟到账吗，都过去10分钟了,什么时候开始放微粒贷？,0
可提现吗,我借到的钱可以到银行取现金出来的吧？,1
是不是不能直接取现消费的阿,微信里的钱忘记提现！！,0
可以在次拨打电话吗,多少分钟才打电话过来认证？,0
有人工电话吗？,你们客服电话号码是多少？,1
我在银行有一笔贷款需要我先把微粒贷的贷款还清，我刚才已经还清了，但是你们怎么出证明我已经还清了呢？,是这样的，我要做住房公积金贷款，它那边说要我还清你们这笔，然后还要出示证明已经还清，要怎么出示啊？,1
借的前可以提现吗,借款可以提现的吗,1
'提额度怎麼提,客服 我怎么不可以,0
下期借款的开放时间,后期要多久,0
为什么我显示未满足微众银行审批要求,为什么不满足审批,1
用其它银行卡可还款吗,我原来的银行卡没有了欠的款还没有还清可以换别的银行卡继续换吗,1
你好，我逾期还款2天，能不能不影响我的信用啊,逾期会对信用造成影响吗,1
我今天早晨已经尝试登陆了一个小时，一直登陆不上，显示请求超时,我为什么不能登路进去,1
)还需要等多久,没有人跟我联系过怎么提示说确认电话未接通？而且也没再接到电话,0
结清证明,结清凭证,1
什么时候邀请我，我芝麻分690,何时邀请我参加微粒贷,1
我的还款还有三期，如果提前还清后，我能获取额度嘛？,提前还款 信用记录,0
还款说失败了呢，卡上有钱的,你好，我卡里有钱怎么还款失败呢！昨晚六点左右存的一千五百元。1,1
不支持微信和支付宝绑卡,中国邮政银行卡，需要开通网银吗,1
开通下,开通微粒贷款,1
qq和微信，微粒贷是一样的么,微信和QQ的微粒贷是连通的么,1
"为什么显示可以借5000,但是申请不成功？",借款失败咋整,0
借款后，银行多长时间打电话确认,借款后一定会有电话打给我吗,0
定期存款在APP哪里,己完成开户，但在总览页找不到定期存款,1
你告诉我,借款成功后 不是有个通知短信吗  那个号码不是我现在用的这个  我要改手机号码,0
你好，微粒货借款还的期限是多久？,.怎么只借几天,0
1000多少一天,借40000每天多少利息？,1
开通 何时邀请我使用微粒贷,不知道我在不在邀请范围,1
为什么我没微粒贷功能,你好！怎么微粒贷还没开放,0
上面写借款成功、钱沒到,15号工资到账才能补上,0
你好，我银行卡中有足够余额，但是还款日没有自动扣除钱，不知有什么问题,你好，我今天还款日，有点事，早上余额不足，提醒下午会再次扣款，也没有扣,1
2016年1月15号结出的15000已在之前还清，请问怎么开结清证明,如何拿到还清贷款的证明？,1
为何提前还款会失败?卡里有足够余额,余额足够还款，如果第二次扣款失败会怎样,0
多少天,提交申請后多久资金到帐,1
您好，我的银行卡余额充足，但是仍然显示还款失败,由于5点10分才存够钱，如何扣款,0
为什么我开不了户口的,怎么微粒贷开通不了,0
不是说凌晨扣款吗，怎么没扣？,为什么今天还款期了！你们还不扣款？,1
:怎么取消,取消微粒贷申请的借款,0
如果终止合同,有在借款合同里明确约定么,0
什么时候我才可以开始借钱,什么时间可以借下来,0
开通后为什么不能借？,强行开通,0
什么时候放,:我微信里没看到微粒贷那个标志,0
在哪弄微粒贷？,怎么样知道有没有微粒贷,1
我的分期账单,我的还货金额和银行帐单不一样,0
为什么还是不能开通,不能开通,1
多久会再度提升？,多久会提次额度,1
借款后要银行打电话来确认才能借，是吗,你好，昨晚借款后，需要打电话过来验证，可是我错过了一次电话验证，怎么办？,0
什么时候借款到账呢,审核电话,0
今天为什么不能登录，一直资源正在更新,微信授权无法登录,1
未看到申请成功，可以取消借款吗？,我刚才有笔贷款，我要取消,1
怎么注销账号,怎么可以销户,1
1000元五期利息是多少,1000元的利息是几多,0
一般都多长时间打确认电话,你们没打过电话审核！,0
怎么操作的啊。你给我讲一下,怎么用,1
你们这个是否安全呢,如何填写个人资料,0
我需要开具结清证明,你好，我现在想一次还清余额可以吗,0
怎么关闭,如何关闭,1
1看不到微粒图标,为什么我的微信上没有微粒贷,1
为什么我输入多次还是开不了户啊？,如果不开户是不是初夕红包到不了？不太会操作，过两天吧。,0
请问提现收费吗,这个绑定支付宝吗,0
还款逾期两天会产生信用不良记录吗,逾期一天会记录吗,1
微信更新版本了也没有微粒贷啊,我没有微粒贷啊！,1
什么时候我能使用微信贷,什么时候邀请可以借钱,1
取消我借款账户,1:微粒贷的关闭,1
借款后，银行多长时间打电话确认,借款后多久来电话通知,1
什么时候可以做贷款,什么时候可以得到借款,1
怎么样才能通过审批,如何能通过微众银行审批要求,1
我申请后说我身份证号码输入错误次数太多无法借款，但我只输入了一次还是正确的请问是为什么,为什么提示我输入的后四位身份证号说是不对，怎么出面这样的情况？,0
以前的那个银行卡折断了换卡了可以还款吗？,我微信流水挺大的  也用了微众银行理财  邀请我开通微粒贷呗,0
为何我借款是审核失败,为何我没通过审批,1
什么时候可以是用贷款,什么时候可以在借钱啊,0
客服電話多少？,借不了啊？有客服电话吗？,1
不能借贷怎么办,借款还清还可以再贷吗,0
还款中如何提升额,额度不能通过人工提额吗,0
何时会邀请我微粒贷,什么时候邀请我用微粒贷,1
可以给我发一份结清证明吗？,刚才说的办理房子按揭因为有贷款记录在贷款银行上面未注销记录，所以要求开结清证明,0
你好，如何更改电话号码,换手机,1
3500的日利率是多少钱,逾期罚息是多少？,0
微粒贷什么时候能发放到我呢,1:何时会邀请我使用微粒贷2,1
你好 如何提高我的信用额度,增加借款额度,1
为什么不能手动还款呢,我都是按时或提钱还款的，为什么我现在不能用了,1
我想撤消微粒贷,我想关闭微粒贷，怎么操作？,1
没接到电话.怎么办,刚才电话确认没有接到,1
你们打电话来我没听到，请在打一遍来,审核未通过怎么办,0
借1000利息是怎么算的？,是第二天就还就还一天的利息吗？,0
我的钱被你弄掉了,可是在钱包里找不到啊？,0
"""我还不是你们的客户，怎样才能成为你们的客户呢",开通微粒贷款,1
什么时候来电审核,一般要审核多久呀！,0
如何更改信用卡还款？,怎样替换还款卡,1
多久提升一次恶毒,你好  怎么提升额度,0
一直就没有这个功能,4000借完就没得借了吧,0
现在日利率是多少？,一天多少息,1
我16号扣款 刚看了下还款帳号 你们怎么还沒扣,什么时候扣,0
什么时间给我打电话啊,你好，审核需要多久？,0
7月30日还款怎么没有扣,22号没有扣款,1
前面你们审核电话没接到，还会打吗？过多久再打,电话没接到，多久会重打,1
'能不能帮我开通啊,开通之后怎么没微粒贷图标显,0
你好，我想咨询一下，我能在微信钱包里关闭你们这个微粒袋么，暂时没这个需求，，等有了再开？,为什么提示我输错了,0
下个月一起还,下个月一起还行不行,1
何时会接到审核电话,12个小时了还没联系,0
不能借,不能恢复借款,0
我用其他银行卡还这期的款  怎么不可以呢？？为什么要还清才可以用其他银行卡呢？,我没见银行卡！可以转到其他银行卡还款吗,1
不是3分钟到账吗，为什么都过了几小时了，还没到账,一整天款都没到账,0
为什么我通过不了贷款,为何申请借款会未通过？,1
办完多久到账,多久下,1
为什么用微粒贷验证码发到原来手机上呢,手机号码是正确的，就是收不到验证码是什么问题,0
为啥还不了款的，卡里钱够啊,为啥零钱还不了,0
一般审核什么问题呢？,为什么审核,0
为什么有的手机不行,不好意思，刚刚手机没有电了,0
身份信息错误过多,怎么样知道微信身份验证成功？,0
第一次借款优惠券哪里可以领,请问有没有优惠券了,1
我填身份证 怎么显示错误,身份证带x怎么办,0
晚上放款拿,贷款4千需要多久到账,1
怎么没有扣款啊！,你们没有扣款，是你们的文,1
为什么我总贷款失败呢 说审批不通过,为什么我借款未通过啊？,0
为什么我申请的一直在审核中,一定要电话审核吗,0
总是短信验证码失败???,验证就是刚发来的，怎么还显示错误,1
我的账号有资格开通微粒贷吗,微粒贷要绑定那家银行,0
怎么关闭微粒货,我注销过微信，微粒货就不见了,0
有什么办法可以通过审批,这要审批吗,0
不符合微众银行审批条件,不满足微粒贷要求,1
zhhp综合评分未通过无法借款,为什么总是综合评估未通过,1
不好意思，我取消借款,不要借了,1
我没接到电话。,刚刚电话占线，没有接到电话,1
为什么今天不扣款？,为什么今天自动还款还没有扣？,1
额度2500，每天利息上多少？,一般多久提升信用额度,0
为什么其他人没有这个软件,上次借的时候没有评估啊,0
不能自主还款么,用红包不可以还款么？,0
为什么我贷款不成功呢？,为什么我微粒贷不成功,0
我那个自动还款的账户注销了,怎么取消自动扣款,0
为啥自动扣款，不能由还款人操作还款吗？,下个月一次清应该还多少,0
为什么一直借款失败,有微粒贷的图标，就是借款失败,1
提前还清,提前还款利息怎么算,0
你们电话是多少,咱们客服电话是多少啊,1
怎么借款失败？,什么原因导致借款失败呢,1
32000借一个月，利息多少,0.05是多少,1
主菜单,你好，我的手机7i，绑定第二张卡人脸识别老是无法启动，说没要打开摄像头权限，我实在是打开了微众所有权限,0
什么时候可以开通微信借款,8月20日借款是在次月的几号还款,0
还款不成功怎么办？,第一次还款就失败,0
余额足怎么扣款失败,你好我早上忘了扣款没成功，下午存进去了，你们会去扣吗,0
~~~我想使用微粒贷但是系统告诉我我没有满足微众银行的审批要求这是为什,借款不符合条件如何进行,1
可以帮我开通微粒贷吗微信号fdj000,#反馈#我想办理微粒贷,1
为何还款了不能再借了,你好，我又无法手工还款了,0
还完可以再贷吗,你好，提前还清可以再继续借贷么,1
app里没找到定期存款,有5年定期存款7%的产品吗？,0
借款后多久会接到电话确认电话？,借款后一般多久会接到小粒的外拨电话？,1
我的密码忘了,我支付宝密码忘记了如何找回来,0
注册要钱吗？,是否收费,1
可以在次拨打电话吗,可以自行打电话确认吗,0
为什么单笔借款最多只有4万元呢？,单比最低借款多少钱,0
可以开通了吗,怎么我的没开通？,0
如何开通微粒代,什么时会接到邀请,0
借款后多久打电话过来,多久会收到客服电话,1
微粒帐单,1看业务账单,1
1怎么看不到微粒货,借款不符合条件如何进行,0
你们最高多少额度,最大额度可以1万不？,0
怎样才是身份认证,qq号码   手机  先生   帮我开通微粒贷  谢谢！,0
.借钱,借款介绍,1
逾期zenme,我担心逾期,1
你好，请问我微粒贷借款为什么评估未通过,'您好  我的申请为什么会失败呢？,0
为什么借款之后前期还款多？不是日息嘛？,第一次申请失败了  就不能申请了吗？,0
我的腾讯应用为5星,腾讯怎么查授信,0
刚刚来电话没接到,怎么打电话没接到就不来电话了,1
为毛评分不够,为什么综合评分不能过?,1
为什么告诉我审核不通过,为什么会借款不通过,1
微粒贷贷app,获取借钱资格,0
下期账单,梯次帐单我看看,1
第一次没有接到电话，什么时候在打电话,请问等待银行电话确认要等多久？,0
不借了，不用打了，取消吧,不要借了,1
为啥我的入口不见了,你好，更新微信微粒货会不会没了,0
不满足客户要求,不满足借钱的要求什么意思,1
微粒贷借款无法用于,别人都有这功能,0
审核人员都久联系我,多久可以知道是否成功批准,0
今天就是扣款日，我要更换银行卡扣款,0910了，能换卡吗？,1
我可以贷多少钱？,我的额度多少钱,0
我不要微粒贷,怎么关闭微粒贷哦,1
什么时候可以借出来,什么时候邀请可以借钱,1
能不能重复使用微粒贷,您好！请问微粒贷系统维护，什么时候恢复正常？谢谢！,0
借到，当天还，可以吗,我今天贷的款，明天可以还一月的吗,1
为什么我朋友的微信没有微粒贷呢？,具体什么时间全面开放,0
转账收费吗？,转帐怎么收费,1
微信提前还款能用别的银行卡还吗？,我绑的银行卡限额了，怎么用别的卡还,0
进去后总是借钱失败呢？,显示申请借款失败什么原因,1
刚刚误操作进行了借款可以取消吗,可不可以取消这个借款软件,0
我现在要手动还款，显示因银行系统升级无法还款,为什么平台现在还款可以，借款不可以？,0
为啥有人手机上没微粒贷,我的微粒贷为什么一点去借款页面就显示没满足要求无法借,0
我的第二比款没到账,没有收到放乱,1
怎么添加名，下其他的银行卡,使用其他银行卡借钱怎么弄,0
其他银行卡手动还款操作,我没有其它银行卡，用别人的银行卡还款行吗？,0
为什么还款完成不能再借,还款后无法再贷？？？,0
货款已经通过，为问没有发放,多会儿能下款,0
什么时候可以贷呢 谢谢,一笔借款还清后多久可以借下一笔,0
为什么不能借款,你们有没有客服电话,0
申请推迟几天还款可以吗,现在逾期了几天现在怎么还款？,0
全都还款了，但是不能再借了,你好，想问下我刚还款成功，想在借款为什么都是失败的？,1
我没有微粒贷啊！,我什么时候会收到邀请,0
请问一下，还清款还要多久又可以再贷款呢,我借了5000，已经还了1500，不知道现在能不能再借一点,0
借钱2000利息是多少一天,:系统上显示我还可借26000，为什么说我综合评估不够，不能借钱,0
我想提前还款。,一次性还款怎么操作,1
开通微粒货,/撇嘴/撇嘴/撇嘴 怎么开通微粒贷啊？,0
微粒贷什么时候开始真正实行,‍什么时候会有,1
借款后。等待电话确认大概要多久,我申请借款后要多久才给电话验证？,1
什么时候能够贷款了,一天只能借一次款吗？,0
如何还钱,怎么还款,1
17岁可以申请,开通不借会影响个人征信吗,0
:能调高额度,为什么一开始说我有一千五的额度，可我一申请就没有了,0
利息什么时候给的？,借款时间1天利息多少,0
已还款能否再借,如提前还，还需要支付剩余的利息吗,0
我把另外一个微信号取消绑定还是不行,打电话来还是微信通知的,0
信用逾期一个月怎么办,一共还有多少欠款,0
微粒贷突然消失了,为什么我的微粒贷突然消失了,1
信息非法 怎么办,到了发信息不,0
何时会邀请我使用微粒,呵呵，逐步是什么时,1
QQ我有借额度，微信怎么没有,qq里为何有,1
开通消费,我微信消费记录这么好居然没有,0
工商银行,中国建设银行（太仓支行）,0
为什么说我的帐号未满足微众银行审批要求无法借贷,借钱的时候显示不符合微众银行审批要求,1
我问有微众银行信用卡吗,银行卡转至限额,0
如果迟了一天会算逾期吗？,逾期一个月罚款多少,0
微信借1500元一天的利息是多少,"你好我想问一下如果借19000,是按多长时间来还款，每个月还多少",0
能绑定微信,怎样绑定QQ邮箱,0
不能用于购房？,为什么不能用于购房,0
QQ已经有了微粒贷，微信怎么不同步。,QQ上的微粒贷客服号是真的吗,0
不能炒股是吧？,不关联这个功能可以吗？,0
微众银行转出有限额吗？,转出额度,1
能用别的银行卡还款吗,那借这钱能转别的银行卡里?,0
怎么微信里没有,怎么没有图标,1
老板~俺想贷款呢,老板干嘛不借钱给我呢？,1
我提前还款,5.如何提前还,1
微粒贷是否要办过信用卡才能有,哦，我里面没有 微粒贷 那就是开通不了了吧,0
一般借款后多久来电话,你好，申请借款后，多久来电话？,1
我想更换电话号码，怎么做？,怎么更改 预留手机号,1
一般审核电话要等多久时间,一般什么时候能收到电话确认借款？,1
为什还款失败,还款失败但是扣钱了,0
你好，假如我贷款20个月，半年之后想提前结清可以吗,如果我有两笔借款，都是分期，能提前结清一个吗,0
身份信息错误怎么回事？,怎么补齐姓名和身份信息 为何总说填写不正确的哦,0
刚申请的借款为什么会失败,为什么到最后出现借款失败,1
